BASIN_NR;location_sea_basin;classifier;location_sea_basin_en
1;01 - Bottenviken;Baltic;01 - Bothnian Bay
2;02 - Norra Kvarken;Baltic;02 - The Quark
3;03 - Bottenhavet;Baltic;03 - Bothnian Sea
4;04 - Ålands hav;Baltic;04 - Åland Sea
5;05 - Skärgårdshavet;Baltic;05 - Archipelago Sea
6;06 - Finska viken;Baltic;06 - Gulf of Finland
7;07 - Norra Gotlandshavet;Baltic;07 - Northern Gotland Basin
8;08 - Västra Gotlandshavet;Baltic;08 - Western Gotland Basin
9;09 - Östra Gotlandshavet;Baltic;09 - Eastern Gotland Basin
10;10 - Rigabukten;Baltic;10 - Gulf of Riga
11;11 - Gdanskbukten;Baltic;11 - Gulf of Gdansk
12;12 - Bornholmshavet och Hanöbukten;Baltic;12 - Bornholm Basin
13;13 - Arkonahavet och Södra Öresund;Baltic;13 - Arkona Basin
14;14 - Bälthavet;Baltic;14 - Belt Sea
15;15 - Öresund;Baltic;15 - The Sound
16;16 - Kattegatt;Skagerrak-Kattegat;16 - Kattegat
17;17 - Skagerrak;Skagerrak-Kattegat;17 - Skagerrak
